route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
FR:Line::e637797b-9508-471b-99eb-387797b5353e:,1187,K30,Tours - Le Mans - Alençon,,2,,BF005F,FFFFFF
FR:Line::e6d248fa-cb5e-43e5-870c-9cc88de4389c:,1187,E16,RE Bourg-en-Bresse / Chambéry,,3,,006600,FFFFFF
FR:Line::e903aa93-d023-451c-af27-bac68d4381d0:,1187,555C,Paris - Rodez / Albi,,2,,,
FR:Line::eb8ea672-79df-4361-9392-20c58b39818a:,1187,P903,Troyes - Châlons - Reims,,3,,006600,
FR:Line::ebbe4137-931d-4f4b-afad-c4ca7b1b0c8c:,1187,P34,Tours-Vendôme-Châteaudun,,2,,006600,
FR:Line::ec7d6d78-7792-4822-be8b-5e0bab24ba62:,1187,L14,14. Poitiers - Niort - La Rochelle,,2,,3E844C,FFFFFF
FR:Line::ec925e4f-137a-4761-914a-13d24e9ace87:,1187,D31,31. Limoges - Périgueux - Bordeaux,,2,,C31632,FFFFFF
FR:Line::eccf8f32-aa71-4613-bbd7-26804f60d0cc:,FR:Authority::7A842934-E342-4D4F-AF8D-8B4C404FFBC4:,A04,Valence TGV - Valence ville- Privas- Aubenas,,3,,006600,FFFFFF
FR:Line::eed1f4f9-faf0-4ff5-a0a9-54e6e17ca1b4:,1187,633G,Paris - Perpignan,,2,,,
FR:Line::efa0a8a6-e1fa-4b39-9185-0d792ab1196c:,1187,P48,NANCY - VERDUN,,2,,006600,FFFFFF
FR:Line::f00e26b7-6485-49be-b167-547cf1c64ded:,1187,P56,Metz - Verdun,,2,,006600,FFFFFF
FR:Line::f476471e-bbd4-4974-bf95-8c7cb9ca3e4a:,1187,C46+,Lunéville - Bar Le Duc - Epernay - Reims,,2,,0F5B95,FFFFFF
FR:Line::f83553c0-f2de-48ff-90ff-a279eaef9614:,1187,P152,Vallorcine - Martigny,,2,,006600,FFFFFF
FR:Line::f8d44b31-cc60-468f-b077-b682835c2cbe:,1187,L12,12. Poitiers - Angoulême,,2,,3E844C,FFFFFF
FR:Line::f951fe07-91e4-4c8a-a112-0022ba3725c1:,1187,P51,Lens - Béthune - St-Pol-sur Ternoise,,2,,006600,FFFFFF
FR:Line::fa2002df-4eab-4035-87a0-4c030f916558:,1187,K54,Lyon Part-Dieu - Valence,,2,,BF005F,FFFFFF
FR:Line::fc526a2c-d3e0-4ae0-b8cd-782f83e16cdd:,1187,560A,Paris - Brive,,2,,,
FR:Line::fe22a529-93ed-4301-8a97-e1c5e11abfa1:,1187,L32,32. Ussel - Brive - Périgueux - Bordeaux,,2,,3E844C,FFFFFF
FR:Line::ff177a26-1548-4497-b111-55a3044e9b94:,1187,C71,Brioude - Clermont - Nevers,,2,,0749FF,FFFFFF
FR:Line::ffe6d3aa-3a90-47ea-aeeb-92fa84909329:,1187,C42+,NANCY - ST DIE DES VOSGES,,2,,0F5B95,FFFFFF
OCESN-71718010-87391003,OCEdefault,INCONNU, -,,2,,,
OCESN-71718010-87686006,OCEdefault,INCONNU, -,,2,,,
OCESN-83002048-87686048,OCEdefault,INCONNU, -,,3,,,
OCESN-87113001-87174003,OCEdefault,INCONNU, -,,2,,,
OCESN-87118000-87118190,OCEdefault,INCONNU, -,,3,,,
OCESN-87118000-87118257,OCEdefault,INCONNU, -,,3,,,
OCESN-87118000-87118299,OCEdefault,INCONNU, -,,3,,,
OCESN-87118000-87142000,OCEdefault,INCONNU, -,,3,,,
OCESN-87118257-87118000,OCEdefault,INCONNU, -,,3,,,
OCESN-87118257-87142000,OCEdefault,INCONNU, -,,3,,,
OCESN-87118257-87711713,OCEdefault,INCONNU, -,,3,,,
OCESN-87118299-87118000,OCEdefault,INCONNU, -,,3,,,
OCESN-87118299-87711713,OCEdefault,INCONNU, -,,3,,,
OCESN-87141002-87192039,OCEdefault,INCONNU, -,,3,,,
OCESN-87141002-87722025,OCEdefault,INCONNU, -,,2,,,
OCESN-87141002-87723197,OCEdefault,INCONNU, -,,2,,,
OCESN-87142000-87118000,OCEdefault,INCONNU, -,,3,,,
OCESN-87142000-87118257,OCEdefault,INCONNU, -,,3,,,
OCESN-87142000-87175000,OCEdefault,INCONNU, -,,3,,,
OCESN-87142000-87175091,OCEdefault,INCONNU, -,,3,,,
OCESN-87142125-87722025,OCEdefault,INCONNU, -,,2,,,
OCESN-87171009-87142000,OCEdefault,INCONNU, -,,2,,,
OCESN-87171009-87171553,OCEdefault,INCONNU, -,,2,,,
OCESN-87171009-87171926,OCEdefault,INCONNU, -,,2,,,
OCESN-87171009-87174003,OCEdefault,INCONNU, -,,2,,,
OCESN-87171009-87296012,OCEdefault,INCONNU, -,,2,,,
